Dec Tag #,Species,Capture_History,LOC,RBT,SRN,RBC,RBS,SCN,LengthFall23,LengthSpring24,LengthFall24,LengthSpring25,LengthFall25,TL 1st Enc,Date 1st Enc,,,,,
989.001030620372,SRN,1100000000,0,0,1,0,0,0,389,392.34,401.8,406.4,416.35,389,11/7/2023,,,,,
989.001030620373,LOC,1000000000,1,0,0,0,0,0,192,197.73,265.76,273.47,324.57,192,11/7/2023,,,,,
989.001030620374,SRN,1100000000,0,0,1,0,0,0,398,401.23,408.01,412.48,420.54,398,11/7/2023,,,,,
989.001030620376,RBT,1100000000,0,1,0,0,0,0,122,128.57,217.42,226.23,291.96,122,11/7/2023,,,,,
989.001030620377,LOC,1100000000,1,0,0,0,0,0,316,320.23,351.39,357.14,382.34,316,11/7/2023,,,,,
989.001030620378,RBT,1110000000,0,1,0,0,0,0,337,355,375.7,380.89,398.74,337,11/7/2023,,,,,
989.001030620379,RBT,1000000000,0,1,0,0,0,0,287,291.58,331.36,337.57,368.83,287,11/7/2023,,,,,
989.001030620380,SCN,1000000000,0,0,0,0,0,1,116,123,213,222,289,116,11/7/2023,,,,,
989.001030620381,RBT,1011000000,0,1,0,0,0,0,243,248.11,300.98,307.88,348.33,243,11/7/2023,,,,,
989.001030620382,SRN,1111000000,0,0,1,0,0,0,340,341,367.96,373.34,393.52,340,11/7/2023,,,,,
989.001030620383,LOC,1111000000,1,0,0,0,0,0,332,342,366.61,372.01,392.61,332,11/7/2023,,,,,
989.001030620384,RBT,1000000000,0,1,0,0,0,0,295,299.48,336.89,342.97,372.56,295,11/7/2023,,,,,
989.001030620385,RBT,1010000000,0,1,0,0,0,0,374,377.53,391.44,396.28,409.36,374,11/7/2023,,,,,
989.001030620386,RBT,1100000000,0,1,0,0,0,0,324,328.13,356.91,362.54,386.07,324,11/7/2023,,,,,
989.001030620387,LOC,1010000000,1,0,0,0,0,0,405,406,411.34,415.73,422.79,405,11/7/2023,,,,,
989.001030620388,RBC,1010001100,0,0,0,1,0,0,328,331,358.92,339,369.82,328,11/7/2023,,,,,
989.001030620389,SRN,1100000000,0,0,1,0,0,0,396,399.26,406.63,411.13,419.61,396,11/7/2023,,,,,
989.001030620390,RBT,1011000000,0,1,0,0,0,0,174,182,254.77,262.72,317.15,174,11/7/2023,,,,,
989.001030620391,LOC,1000000010,1,0,0,0,0,0,390,393.33,402.49,407.08,481,390,11/7/2023,,,,,
989.001030620392,LOC,1111000000,1,0,0,0,0,0,256,263,311.39,318.05,355.35,256,11/7/2023,,,,,
989.001030620393,RBC,1111000000,0,0,0,1,0,0,305,305,340.75,346.74,375.16,305,11/7/2023,,,,,
989.001030620394,LOC,1000000000,1,0,0,0,0,0,396,399.26,406.63,411.13,419.61,396,11/7/2023,,,,,
